region_code,region
10614,Gedling
10635,Geocrab
10638,Georgeham
10648,Gibraltar
10652,Giffnock
10667,Gilfachrheda
10668,Gilford
10683,Gilmorton
10691,Gilwilly Industrial Estate
10699,Girsby
10722,Glandwr
10733,Glanypwll
10765,Gleaston
10769,Glen
10770,Glen Caladh
10771,Glen Douglas
10816,Glenhinnisdal
10817,Glenisla
10826,Glenmavis
10852,Glewstone
10853,Gliffaes
10869,Glynfach
10901,Goginan
10902,Golan
10910,Golden Green
10921,Goldthorn Park
10957,Goostrey
10965,Goring Heath
10980,Gorstan
10982,Gorsty Knoll
10983,Gortacarn
10994,Gortdonaghy
11007,Gosbeck
11025,Goulceby
11072,Grandborough Fields
11089,Grange Villa
11097,Gransmoor
11100,Grantshouse
11108,Grassthorpe
11114,Graveley
11123,Grazeley
11130,Great Alne
11215,Great Haseley
11241,Great Longstone
11262,Great Plumstead
11275,Great Shefford
11308,Great Witcombe
11323,Green Crize
11337,Greencroft Industrial Park
11392,Grenoside
11410,Greywell
11415,Griffithstown
11428,Grimsay Island
11452,Grisdale
11455,Griston
11467,Groeslon
11469,Grogarry
11480,Groundwell Industrial Estate
11487,Grove Park
11489,Grove Park
11549,Guys Cliffe
11556,Gwaunfarren
11557,Gwbert
11585,Haccombe
11590,Hackford
11594,Hacklett
11595,Hacklinge
11611,Hadleigh
11612,Hadleigh
11626,Hagley
11627,Hagnaby
11649,Hale
11654,Hale Purlieu
11696,Halse
11700,Halsinger
11727,Ham
11753,Hammerwich
11765,Hampstead Industrial Estate
11776,Hampton Hargate
11786,Hampton-On-The-Hill
11797,Hamworthy
11812,Handy Cross
11813,Hanford
11821,Hanham
11842,Hanworth
11855,Harbridge
11858,Harby
11867,Hardington
11885,Hardwick
11914,Harlaw Road Industrial Estate
12007,Hartside
12015,Harwell
12021,Harwood Dale
12036,Haslingden
12039,Hassall
12076,Hatton
12080,Hatton
12087,Haugh Of Urr
12099,Haughton Village
12112,Haversham
12120,Hawkeridge
12123,Hawkesbury Common
12136,Hawksley Industrial Estate
12140,Hawkwell
12148,Hawridge
12163,Haxton
12195,Hazlehead
12221,Healey
12223,Healey
12232,Heapham Road Industrial Estate
12263,Heaton
12267,Heaves
12273,Heck
12309,Helions Bumpstead
12314,Hellesdon
12318,Hellingly
12337,Hemerdon
12361,Hemswell Cliff
12367,Hendon
12369,Hendre
12370,Hendrerwydd
12420,Hermitage
12429,Heronsgate
12432,Herringfleet
12443,Hertingfordbury
12449,Hesley
12468,Heveningham
12486,Heylipol
12488,Heynish
12496,Heywood
12524,High Coniscliffe
12550,High Hesket
12554,High Humbleton
12555,High Hunsley
12573,High Normanby
12584,High Shincliffe
12612,Higher Barnes
12672,Higher West Tolgus
12680,Highercombe
12687,Highfields Caldecote
12688,Highleadon
12710,Hildenborough
12756,Hillswick
12780,Hinderwell
12824,Hoar Cross
12840,Hodge Lea
12860,Holbeck
12895,Hollington
12900,Hollow Meadows
12917,Holmbush
12926,Holme
12961,Holton-Cum-Beckering
12969,Holwell
12995,Honcray
13008,Honington
13030,Hookgate
13044,Hope
13073,Hordle
13076,Horeb
13078,Horgabost
13080,Horkstow
13118,Horsham St. Faith
13122,Horsley
13123,Horsley
13124,Horsley Cross
13167,Hougharry
13172,Houghton
13247,Huish
13274,Huncoat Industrial Estate
13286,Hungerton
13304,Huntingfield
13309,Huntington
13325,Hurcott
13383,Hyde
13384,Hyde Ash
13394,Hythe
13400,Iburndale
13404,Ickford
13427,Idstone
13435,Ightfield Heath
13458,Ilsom
13460,Ilton
13466,Ince
13477,Ingestre
13485,Ingleigh Green
13490,Ingleton
13499,Ingoldisthorpe
13518,Innerwick
13550,Invermoriston
13561,Iping
13567,Irby
13577,Ironbridge
13583,Irton
13595,Islawrdref
13602,Isle Ornsay
13614,Itchen Abbas
13620,Ivegill
13646,Janetstown
13651,Jerusalem
13652,Jervaulx
13664,Joiners Square Industrial Estate
13676,Justinhaugh
13699,Keills
13721,Kelling
13734,Kelshall
13752,Kemeys Inferior
13754,Kempley
13764,Kenardington
13771,Kenley
13786,Kennythorpe
13795,Kentisbeare
13817,Kergilliack
13828,Kersbrook
13831,Kershader
13886,Kilafinta
13888,Kilbagie
13889,Kilbarchan
13914,Kildwick
13922,Kilkerran
13933,Killen
13953,Killough
13974,Kilmahog
13986,Kilmington
13993,Kilmun
13995,Kiln Green
14002,Kilndown
14008,Kilnwick Percy
14038,Kimmeridge
14047,Kincardine
14051,Kinderton
14066,Kingham
14076,Kings Cliffe
14087,Kings Nympton
14089,Kings Ripton
14092,Kings Sutton
14105,Kingsdon
14111,Kingsey
14117,Kingskettle
14120,Kingsland
14130,Kingstanding
14144,Kingston
14146,Kingston Bagpuize
14156,Kingston Stert
14170,Kingswood
14208,Kinnerley
14220,Kinsham
14272,Kirkby
14291,Kirkconnel
14303,Kirkhill
14414,Knockally
14418,Knockbreda
14427,Knockline
14468,Knowstone
14471,Knuston
14479,Kylesku
14484,Kites Hardwick
14487,Lach Dennis
14508,Laggan
14536,Lamellion
14558,Landimore
14576,Lanesfield
14586,Langdon
14625,Langridge
14665,Lanton
14692,Latheronwheel
14695,Latton
14705,Launde
14722,Lawers
14775,Leagram
14776,Leagrave
14777,Lealholm
14791,Leathley
14814,Ledsham
14830,Leece
14832,Leechmere Industrial Estate
14850,Legbourne
14881,Leighton
14904,Lenham Heath
14920,Leslie
14926,Lesson Hall
14927,Leswalt
14966,Levitt Hagg
14985,Lhanbryde
15008,Lightwoods
15017,Lillingstone Dayrell
15020,Lillington
15023,Limber
15037,Lindal
15104,Lislea
15135,Little Badminton
15137,Little Bampton
15140,Little Barningham
15188,Little Corby
15189,Little Cornard
15200,Little Dawley
15211,Little Eaton
15226,Little Gransden
15242,Little Hayfield
15250,Little Holtby
15261,Little Hulton
15269,Little Kimble
15310,Little Padfield
15311,Little Park
15346,Little Steeping
15347,Little Stoke
15370,Little Walden
15405,Littlemore
15411,Littlethorpe
15418,Littletown
15419,Littlewick Green
15422,Littleworth
15431,Litton Cheney
15432,Litton Mill
15456,Llanbadarn Fawr
15466,Llanbethery
15467,Llanbister
15473,Llancarfan
15478,Llandaff North
15483,Llanddeiniol
15486,Llanddeusant
15505,Llandeilo'R Fan
15520,Llandre
15538,Llaneilian
15539,Llanelian
15566,Llanfarian
15570,Llanfihangel
15577,Llanfihangel-Nant-Bran
15578,Llanfihangel-Y-Creuddyn
15596,Llangarron
15609,Llangennith
15629,Llangwm
15642,Llangynhafal
15643,Llangynidr
15655,Llanigon
15664,Llanllyfni
15667,Llanmaes
15690,Llanrumney
15703,Llanstadwell
15705,Llanstephan
15714,Llantrisant
15744,Llanwysg
15750,Llanycil
15755,Llanyravon
15758,Llawhaden
15779,Llwyncelyn
15786,Llwynypia
15795,Llywel
15801,Lobthorpe
15825,Lochfoot
15840,Lochrutton
15855,Lockton
15857,Loddington
15864,Lodge
15869,Lofthouse Gate
15880,Logiealmond
15882,Logierieve
15920,Long Melford
15923,Long Park
15929,Long Sutton
15938,Longbridge
15940,Longbridge Hayes
15944,Longcroft
15948,Longden Common
15955,Longfield Hill
15956,Longford
15967,Longhaven
15968,Longhedge
15972,Longhirst
16005,Longthorpe
16052,Loughton
16065,Loversall
16076,Low Dalby
16102,Low Marishes
16105,Low Moor
16107,Low Moresby
16143,Lower Bayble
16171,Lower Catesby
16175,Lower Chute
16176,Lower Clatcombe
16182,Lower Cumberworth
16203,Lower Failand
16217,Lower Hardres
16261,Lower Penn
16333,Lower Woodford
16339,Lower Wych
16354,Lowsonford
16355,Lowther
16372,Luccombe
16379,Ludbrook
16393,Ludham
16397,Ludwell
16398,Ludworth
16421,Lund House Green
16430,Lupton
16437,Lushill
16457,Lyddington
16458,Lyde
16466,Lydiard Millicent
16468,Lydiard Tregoze
16541,Madingley
16547,Maenaddwyn
16572,Maesymeillion
16642,Mancot
16672,Manordeilo
16679,Manson
16696,Maplebeck
16708,Mapplewell
16717,Marchington Cliff
16720,Marcross
16734,Margaret Marsh
16770,Marlbrook
16779,Marlston Hermitage
16781,Marnhull
16783,Marple
16796,Marsh Barton Trading Estate
16810,Marshfield
16817,Marske
16849,Martin Mill
16891,Matching Green
16900,Matley
16907,Mattersey Thorpe
16929,Mawneys
16934,Maxwelltown
16976,Medmenham
17011,Melkinthorpe
17019,Mells
17021,Melmerby
17028,Melton
17049,Mentmore
17054,Meopham
17059,Mere
17064,Mereworth
17065,Meriden
17085,Messing
17091,Metherell
17092,Metheringham
17093,Metheringham Fen
17111,Michaelston-Y-Fedw
17131,Mid Holmwood
17166,Middleleaze
17187,Middleton
17197,Middleton
17244,Mildenhall
17257,Milford
17264,Mill Bank
17281,Millhall
17283,Millhouse
17288,Millington
17305,Milton
17321,Milton Bridge
17331,Milton Lilbourne
17337,Milton Regis
17343,Milwr
17352,Minions
17354,Minishant
17362,Minster
17363,Minster
17364,Minster Lovell
17374,Minto
17393,Mitchell
17409,Modbury
17413,Moelfre
17433,Monea
17455,Monkokehampton
17462,Monks Risborough
17467,Monkstone
17481,Monkwood
17505,Moorends
17532,Morcott
17570,Morice Town
17588,Mortimer West End
17596,Morton
17601,Morton On The Hill
17641,Moston
17680,Mount Pleasant
17688,Mountblairy
17714,Muasdale
17732,Muddiford
17763,Mullans
17767,Mullylogan
17776,Mundford
17783,Munstone
17802,Murtry
17819,Mydroilyn
17829,Mynydd Du
17832,Mynydd Mechell
17837,Mynytho
17841,Myton On Swale
17851,Nailsworth
17854,Nairnside
17862,Nanpantan
17884,Nantyderry
17958,Nentsbury
17962,Ness
17963,Ness
17969,Nether Cantley
17972,Nether Compton
17977,Nether Heyford
17982,Nether Poppleton
17984,Nether Stowey
18011,Netherton
18016,Netherton
18095,New Inn
18113,New Packington
18114,New Pellon
18131,New Wessington
18135,New Wortley
18148,Newbiggin
18164,Newbridge
18173,Newbridge
18174,Newbridge
18185,Newby
18198,Newchapel
18199,Newchapel
18202,Newchurch
18250,Newmore
18254,Newnham
18263,Newport Park
18264,Newsham
18266,Newsham
18279,Newton
18315,Newton Harcourt
18319,Newton In Bowland
18330,Newton Mulgrave
18366,Newtown
18414,Noke
18428,Norcote
18520,North Erradale
18543,North Kessock
18551,North Litchfield
18558,North Marston
18592,North Roe
18605,North Stifford
18629,North Wootton
18630,North Wootton
18641,Northbourne
18654,Northfield
18656,Northfleet
18675,Northumberland Heath
18695,Norton
18699,Norton
18700,Norton
18718,Norton Mandeville
18739,Notton
18749,Nunkeeling
18756,Nunton
18765,Nutbourne
18768,Nutford
18814,Oakley Green
18855,Odiham
18858,Odstone
18880,Old
18889,Old Brookend
18895,Old Chalford
18900,Old Colwall
18966,Old Stratford
18971,Old Town
19008,Ollerton Post
19028,Orcop
19032,Ordsall
19037,Organford
19048,Ormsary
19051,Orphir
19107,Otterhampton
19136,Outhgill
19139,Outwell
19158,Over Stratton
19170,Oversley Green
19191,Ower
19193,Owersby Moor
19211,Oxen Park
19218,Oxford Airport
19251,Padstow
19257,Pagham
19262,Painscastle
19281,Pamphill
19287,Pandy
19288,Pandy
19292,Panmure
19334,Parbrook
19350,Park Gate
19377,Parley
19382,Parrett Works
19405,Patmarsh
19451,Peatling Parva
19479,Pell Wall
19493,Pen-Y-Cae
19505,Penceiliogi
19516,Pendeford
19530,Pengelly
19553,Penlee
19601,Penpont
19609,Penrhiwllan
19639,Penstruthal
19654,Pentre Berw
19657,Pentre Celyn
19661,Pentre Maelor
19662,Pentre Meyrick
19669,Pentrebach
19681,Pentridge
19723,Peplow
19726,Peppercombe
19734,Perranarworthal
19737,Perranwell Station
19743,Perrystone Hill
19764,Pettaugh
19768,Petty France
19781,Pibsbury
19790,Picket Twenty
19792,Pickhill
19795,Pickmere
19799,Pickwell
19801,Pickworth
19823,Pillerton Hersey
19837,Pilton
19846,Pinford
19854,Pinn
19859,Pipe Aston
19916,Platt Lane
19932,Plompton
19944,Plumpton
19949,Pluscarden
19962,Point
19966,Pointon Fen
19978,Poling
19987,Polruan
19993,Polstrong
20029,Pontllyfni
20034,Pontrhydfendigaid
20044,Pontsticill
20053,Pontymoile
20059,Poole
20086,Port Edgar
20096,Port Pendennis
20118,Portfield
20143,Portling
20149,Portmore
20154,Porton
20189,Potters Hill
20240,Premnay
20250,Preston
20271,Preston Gubbals
20282,Prestwich
20283,Prestwick
20290,Pride Park
20299,Primsland
20301,Princes End
20316,Priorswood Industrial Estate
20328,Pucklechurch
20332,Puddletown
20341,Pulloxhill
20342,Pulverbatch
20359,Purton
20367,Puttenham
20372,Pwllcrochan
20405,Quarrendon
20406,Quarrier's Village
20408,Quarrington Hill
20415,Quatt
20438,Quidhampton
20441,Quinton
20480,Radway Green
20539,Ramsgill
20596,Ravenshead
20602,Ravenstone
20609,Rawcliffe Bridge
20614,Rawridge
20634,Red Dial
20651,Redbrook Maelor
20658,Redenhall
20665,Redford
20694,Redworth
20696,Reedham
20699,Reeds Beck
20725,Repps With Bastwick
20741,Reymerston
20746,Rhanich
20808,Rhue
20820,Rhyddings
20869,Ridgewood
20876,Ridlington
20886,Riley Hill
20891,Rimpton
20955,Roath
20965,Roborough Down
20969,Roch
20983,Rockfield
20995,Rodborough
20998,Rodbourne
20999,Rodbourne Cheney
21003,Roddhurst
21039,Roman Bridge
21041,Romanno Bridge
21044,Romsley
21056,Roose
21062,Ropley
21068,Rose Green
21069,Roseacre
21073,Rosedale East
21075,Rosehaugh
21084,Rosemount
21110,Rosside
21119,Rosspoint
21127,Rosudgeon
21158,Roughlee
21181,Rousdon
21188,Rowberrow
21240,Ruckland
21253,Rudheath
21278,Runswick
21318,Rustington
21320,Ruston Parva
21339,Ryeish Green
21352,Sabden
21366,Salcombe Regis
21373,Salendine Nook
21380,Salhouse
21398,Salters Green
21405,Saltford
21408,Saltmarshe
21413,Saltram
21416,Saltwood
21429,Sampford Spiney
21456,Sandgate
21473,Sandling
21481,Sandridge
21515,Sardis
21543,Sauchieburn
21546,Saundby
21582,Scagglethorpe
21619,Scethrog
21627,Scissett
21656,Scotton
21658,Scotton
21678,Scrivelsby
21682,Scrooby Top
21696,Seafield
21740,Sedgehill
21743,Sedgwick
21758,Seisdon
21766,Sellindge
21769,Selly Park
21772,Selside
21782,Semilong
21788,Senghenydd
21820,Shackleford
21826,Shadwell
21841,Shandwick
21857,Sharnbrook
21872,Shavington
21874,Shaw
21880,Shawbank
21908,Sheffield Park
21973,Sheriff Hutton
21984,Sherston
21994,Shieldaig
22032,Shipton Gorge
22053,Shirwell
22075,Shortheath
22084,Shotley
22087,Shottenden
22108,Shripney
22114,Shuffley
22131,Sibford Ferris
22132,Sibford Gower
22203,Sisland
22209,Six Mile Bottom
22221,Skeffling
22226,Skelbrooke
22242,Skene
22291,Slamannan
22305,Slebech
22307,Slee
22314,Slindon Common
22323,Slough Green
22325,Sluvad
22330,Small Heath
22337,Smallford
22350,Smethcott
22353,Smithills
22360,Snainton
22369,Snargate
22395,Snitterby Sandhayes
22401,Snowshill
22404,Soar
22425,Somerley
22452,Soudley
22476,South Brewham
22490,South Church Enterprise Park
22501,South Croxton
22516,South Galson
22533,South Hinksey
22537,South Hylton
22575,South Park
22592,South Stainley
22616,South Zeal
22622,Southburgh
22645,Southill
22693,Sparbridge
22718,Speeton
22758,Spridlington
22768,Springhead
22769,Springhill
22772,Springkerse Industrial Estate
22792,St. Agnes
22796,St. Andrews Major
22805,St. Athan
22823,St. Clears
22896,St. Kew
22898,St. Keyne
22900,St. Lawrence
22904,St. Leonards
22920,St. Martins
22924,St. Martins
22927,St. Mary Church
22932,St. Mary's
22944,St. Michael Penkivel
22951,St. Minver
22955,St. Neot Downs
22966,St. Owens Cross
22967,St. Pauls
22978,St. Phillans
22985,St. Saviour
22992,St. Tudy
23005,Staddiscombe
23036,Stainton By Langworth
23042,Stair
23051,Stallingborough
23059,Stanage
23066,Standburn
23068,Standerwick
23078,Stanecastle
23093,Stanhoe
23106,Stanley Green Trading Estate
23110,Stanmer
23120,Stanshope
23201,Staunton Harold
23229,Steep
23236,Steeple Bumpstead
23240,Steeple Morden
23247,Stenalees
23249,Stenigot
23259,Sternfield
23272,Stewponey
23281,Sticker
23290,Stillingfleet
23292,Stillington
23296,Stirchley
23321,Stocking Pelham
23337,Stockton
23341,Stockton Heath
23346,Stockwood
23371,Stoke Edith
23376,Stoke Golding
23380,Stoke Heath
23388,Stoke Park
23396,Stoke St. Gregory
23406,Stokenham
23414,Stone
23455,Stoneycombe
23460,Stoneywood
23464,Stonor
23489,Stourmouth
23572,Streatley
23573,Streatley
23588,Stretford
23656,Stuston
23658,Stutton
23663,Subberthwaite
23680,Sulham
23684,Summerbridge
23699,Sunderlandwick
23700,Sundon
23764,Sutton Montis
23774,Sutton Under Brailes
23793,Swainshill
23797,Swalcliffe
23813,Swanmore
23826,Swardeston
23838,Sweet Briar Road Industrial Estate
23848,Swillington
23849,Swillington Common
23868,Swinhay
23890,Sychtyn
23908,Syresham
23936,Talacre
23937,Talaton
23943,Talgarth
23949,Talland Bay
23971,Tan Hills
23998,Tarbert
24007,Tarewaste
24008,Tarfside
24021,Tarrant Monkton
24043,Tattenhoe
24085,Teesside Industrial Estate
24098,Telscombe Cliffs
24110,Temple Hirst
24111,Temple Meads
24114,Temple Valley
24117,Templepatrick
24129,Terregles
24148,Teversal
24151,Tewitfield
24175,The Dardy
24191,The Hendre
24204,The Packet Quays
24263,Thomastown
24296,Thorndon
24300,Thorne St. Margaret
24316,Thornhill
24323,Thornhill Lees
24347,Thornton Le Moor
24367,Thorpe Abbotts
24368,Thorpe Arnold
24388,Thorpe Satchville
24402,Thorpe-On-The-Hill
24409,Threapwood
24427,Thringstone
24428,Thrintoft
24438,Throsk
24448,Thrupp
24465,Thurlbear
24474,Thurlstone
24478,Thurne
24481,Thurning
24493,Thurton
24496,Thwaite
24500,Thwaites
24515,Tickhill Spital
24531,Tidmington
24546,Tillington
24570,Timsgarry
24572,Tincleton
24574,Tindale Fell
24594,Tirabad
24612,Tittleshall
24648,Tolethorpe
24700,Tonyloman
24727,Torphichen
24732,Torrin
24737,Torside
24767,Tovil
24787,Townsend
24791,Towthorpe
24805,Trallong
24810,Tranmere
24840,Trebullett
24858,Tredogan
24912,Tregorrick
24921,Trehan
24933,Treleigh
24934,Treleigh Downs
24936,Trelewis
24937,Treliever
24955,Trematon
24960,Tremough
24981,Tresaith
24987,Tresillian
24991,Treslothan
25024,Treven
25031,Trevia
25036,Trevithick Downs
25047,Trewen
25063,Triley
25075,Trinafour
25076,Tringford
25079,Trink
25104,Troytown
25137,Tugford
25146,Tullyally
25180,Turfdown
25209,Tutwell
25210,Tuxford
25243,Twyford
25299,Ubbeston
25301,Uckinghall
25312,Uffington
25313,Uffington
25326,Ulbster
25370,Upham
25375,Uplands
25379,Upleatham
25403,Upper Brynamman
25405,Upper Caldecote
25416,Upper Corris
25442,Upper Harlestone
25444,Upper Helmsley
25455,Upper Lambourn
